Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Author (product.metafields.custom.author),Binding (product.metafields.custom.binding),Canonical Handle (product.metafields.custom.canonical_handle),Inventory Log (product.metafields.custom.inventory_log),Language (product.metafields.custom.language),Location (product.metafields.custom.location),Non-Alcoholic (product.metafields.custom.non_alcoholic),Preorder Override Date (product.metafields.custom.preorder_override_date),Product Details (product.metafields.custom.product_details),Publication Date (product.metafields.custom.pub_date),Cuisine (product.metafields.custom.region),Reserve (product.metafields.custom.reserve),Shelf (product.metafields.custom.shelf),Specialization (product.metafields.custom.special),Special Diet (product.metafields.custom.special_diet),Spirits (product.metafields.custom.spirits),Wine (product.metafields.custom.wine),Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Art style (product.metafields.shopify.art-style),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Fabric (product.metafields.shopify.fabric),Genre (product.metafields.shopify.genre),Headwear features (product.metafields.shopify.headwear-features),Language version (product.metafields.shopify.language-version),Material (product.metafields.shopify.material),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Medium (product.metafields.shopify.medium),Publication frequency (product.metafields.shopify.publication-frequency),Signature placement (product.metafields.shopify.signature-placement),Target audience (product.metafields.shopify.target-audience),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
turtle-island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780593579237_2_cf94c552-415f-467d-ad33-48b18775fe5d.jpg?v=1749569640,2,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turtle-island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780593579237_3_dba1987f-518e-458e-961f-8a4ff44242ce.jpg?v=1749569640,3,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turtle-island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780593579237_4_6a940c0e-4f28-44d6-a5c1-7d5613382007.jpg?v=1749569640,4,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turtle-island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780593579237_5_2f698040-689b-4bcc-a825-72255bbbd3e1.jpg?v=1749569640,5,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-whole-fish-collection,The Whole Fish Collection,"<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Limited edition of 3000 sets.</strong></p>
<p data-mce-fragment=""1""><em data-mce-fragment=""1""><strong data-mce-fragment=""1"">This is what the publisher tells us about this book:</strong></em></p>
<p><em>The Whole Fish Collection</em> is a limited-edition set featuring Josh Niland's three award-winning cookbooks, housed in a luxurious slipcase with exclusive content, including a signed print and a special edition cover for <i>The Whole Fish Cookbook</i>. Only 3000 sets will be produced, making this a rare and coveted collector’s item for seafood enthusiasts and home chefs. <br><br>Introducing <b>The Whole Fish Collection</b>—a stunning, limited-run set that unites all three of Josh Niland’s trailblazing and award-winning cookbooks in one beautifully crafted package. This exclusive bind-up includes <i>The Whole Fish Cookbook</i>, <i>The Fish Butchery</i>, and <i>Take One Fish</i>, all housed in a luxurious slipcase designed to elevate Josh’s revolutionary approach to seafood into an art form.</p>
<p>A must-have for the true fan, this collection also features a series of exclusive, never-before-seen additions that will make it irresistible to serious home chefs and collectors alike. </p>
<ul>
<li>
<b>Three Books in One Elegant Slipcase:</b> This exclusive set includes Josh’s full culinary works, beautifully presented in a custom-designed slipcase. It’s the perfect way to showcase Josh’s exceptional techniques and philosophies about working with fish—from simple preparations to advanced butchery skills.</li>
<li>
<b>Limited Edition Signed Print:</b> Included in the collection is a digitally signed print of the breakdown of the John Dory from <i>The Whole Fish Cookbook</i>.</li>
<li>
<b>Special Edition Cover for <i>The Whole Fish Cookbook</i>:</b> The <i>Whole Fish Cookbook</i> features a brand new cover design with a striking rainbow metallic foil print, replacing the iconic black fish with an eye-catching 3D effect that brings the cover to life. This design has already made waves in the fashion world, having been featured on t-shirts as part of the <i>Comme des Garçons</i> Watanabe cookbook collection. It also made an appearance on the shelves of Carmy, the protagonist of the cult-hit TV series <i>The Bear</i>, further cementing its status as an iconic culinary image. This new design takes that legacy even further, making it a show-stopping piece on any shelf.</li>
<li>
<b>Exclusive and Limited:</b> Only 3000 sets will be produced including the digitally signed print and exclusive Whole Fish cover design, making <i>The Whole Fish Collection</i> a highly exclusive item. Once sold out, this set will never be reprinted with the digitally signed print and cover like this, ensuring that it remains a rare and highly coveted collector’s piece for Josh Niland’s most dedicated fans.</li>
<li>
<b>Price Point:</b> Retailing at $150, the collection offers exceptional value considering the limited-edition content, the signed print, and premium packaging. It’s the perfect combination of accessibility and luxury for culinary aficionados who appreciate both design and technique.</li>
</ul>
<p>Hardcovers. Color photographs throughout.<b data-mce-fragment=""1""></b></p>",HGUS,Media > Books > Print Books,BOOK,"10-28-2025, C, Fall 2025, Ln_En, preorder",true,Title,Default Title,,,,,,,,Josh Niland,5443.10844,shopify,deny,manual,150.00,,true,true,,,,,'9781761452260,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/NilandCollection1.jpg?v=1750352924,1,Book covers:  The Whole Fish Collection,false,The Whole Fish Collection | Kitchen Arts & Letters,"Josh Niland's Whole Fish Collection offers three award-winning seafood cookbooks, signed print, and exclusive content for discerning chefs.",543543,,,,,,,,,,,Josh Niland,Hardcover,,,English,,,,,'2025-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,active
the-whole-fish-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/NilandCollection2.jpg?v=1750352924,2,Book cover and poster: The Whole Fish Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-whole-fish-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781761452260_3_f8ffa3c0-7d09-4b0c-b7b3-386924b6d1c3.jpg?v=1750352924,3,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-whole-fish-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781761452260_4_a4e79d35-652a-468e-a63d-1a04b64bdd20.jpg?v=1750352924,4,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-talisman-of-happiness,The Talisman of Happiness: The Most Iconic Italian Cookbook Ever Written,"<p data-start=""0"" data-end=""417"">Few cookbooks have had the cultural impact in their home country that this book<em data-start=""70"" data-end=""97""> </em>has in Italy. First published in 1929, Ada Boni’s expansive guide to Italian home cooking became a national reference point—passed between generations, gifted to newlyweds, and treated as a household essential. This is the first complete English-language edition, giving American readers access to its remarkable scope.</p>
<p data-start=""419"" data-end=""844"">With 1,680 recipes drawn from across Italy’s culinary traditions, the book offers a grounded, comprehensive view of how Italians have cooked at home for nearly a century. Each recipe has been reformatted for clarity, with ingredients separated from instructions and measurements given in familiar American standards. The result is far easier to navigate than Boni’s original single-paragraph style, without sacrificing depth.</p>
<p data-start=""846"" data-end=""1261"">The translator approached their with a clear editorial framework, focusing on enduringly relevant Italian recipes, excluding dishes that rely on outdated techniques, ingredients that have largely fallen out of use, or non-Italian content added in later editions. </p>
<p data-start=""1263"" data-end=""1539"">The book’s design is straightforward, with occasional two-color illustrations and a clear layout. Nearly 1,700 recipes are packed into a single volume, using small type on a white background to preserve readability while fitting the material into 912 pages.</p>
<p data-start=""1541"" data-end=""1873"">While this edition doesn’t correspond exactly to any one version currently in print in Italy, it stays true to the spirit of the original: a dense, practical, and serious guide to the everyday food of Italian households. For home cooks looking to understand Italian cuisine at its foundation, it’s a major and long-awaited resource.</p>
<p>Hardcover. Line illustrations.<b></b></p>",HBG,Media > Books > Print Books,BOOK,"10-07-2025, 10-28-2025, C, Fall 2025, Ln_En, preorder",true,Title,Default Title,,,,,,,,Ada Boni,2267.96185,shopify,continue,manual,60.00,,true,true,,,,,'9780316577991,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780316577991_1_5fc8f0c5-3770-4765-be72-d798411dbd63.jpg?v=1749569626,1,Book Cover: The Talisman of Happiness: The Most Iconic Italian Cookbook Ever Written,false,The Talisman of Happiness | Kitchen Arts & Letters,"Unlock Italy's culinary heart! This complete translation of Boni's ""Talisman"" delivers 1600+ regional recipes for timeless Italian cooking.",543543,,,,,,,,,,,Ada Boni,Hardcover,,,English,,,'2025-10-28,,'2025-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,active
the-plant-forward-handbook,The Plant-Forward Handbook,"<p><strong>This is a Featured Preorder* for a book that will be published September 1, 2026.</strong></p>
<p><strong>This is a translation of <a href=""https://www.kitchenartsandletters.com/products/la-cuisine-vegetale-de-reference"">La Cuisine Végétale de Référence.</a> </strong></p>
<p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<p><b><i>The Plant-Forward Handbook</i> is the ultimate guide for chefs embracing plant-based cuisine, featuring 200 products, 200 techniques, and 190 recipes, all designed with training and quality in mind </b><br><br><i>The Plant-Forward Handbook</i> is crafted as an essential resource for professional chefs aiming to master plant-based cuisine, a rising demand in the culinary world.</p>
<p>This comprehensive guide presents an impressive array of knowledge with over 200 products and techniques, 130 foundational preparations, and 190 recipes, each illustrated and designed for easy implementation in professional kitchens.</p>
<p>The handbook is backed by more than 200 instructional videos, making it a valuable training tool that combines practical expertise with visual learning. Its esteemed authors, including Frédéric Jaunault (MOF Primeur), Jean-Michel Truchelut, Pierre-Paul Zeiher, Jérôme Leniaud, and Luc Fontaine, bring a wealth of international experience and insights to this project, setting a new benchmark in plant-based culinary training.</p>
<p>From enhancing basic preparations to inspiring innovative plant-based creations, this handbook covers it all, making it indispensable for chefs dedicated to excellence.</p>
<p>Hardcover. Color photographs throughout. 1008 pages.</p>
<p><b>* Featured Preorder books earn you an </b><b><i>extra </i></b><b>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can </b><a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a><b> It's as simple as creating a store account.</b></p>",ABR,Media > Books > Print Books,BOOK,"09-01-2026, C, Fall 2025, Ln_En, preorder, Sd_Vt",false,Title,Default Title,,,,,,,,"Frederic Jaunault, Luc Fontaine, and Jerome Leniaud",2267.96185,shopify,continue,manual,125.00,,true,true,,,,,'9782386220715,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9782386220715_1_1a8fca01-ad4e-48a9-b530-e1a73a73a805.jpg?v=1749569623,1,Book Cover: The Plant-Forward Handbook,false,The Plant-Forward Handbook | Kitchen Arts & Letters,"Elevate your plant-based cuisine! This chef's handbook features 190 recipes, 200 techniques, and expert guidance for culinary excellence.",543543,,,,,,,,,,,Frederic Jaunault,Hardcover,,,English,,,,,'2026-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,active
the-plant-forward-handbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9782386220715_2_23793b21-350d-49e5-b49f-d3c9b5ea6adc.jpg?v=1749569623,2,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-plant-forward-handbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9782386220715_4_4e44c5a4-5842-45f0-8970-470716277cf7.jpg?v=1749569623,3,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-plant-forward-handbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9782386220715_5_04112487-4269-48f8-997e-cc08f4bb9d67.jpg?v=1749569623,4,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
